review_uid,destination,language_review,text_clean,asp_atractivos,asp_costos,asp_seguridad,asp_accesibilidad,asp_limpieza,asp_atencion_servicio,asp_gastronomia,asp_alojamiento,asp_clima,asp_aforo_multitudes
gm_4e440e6538c3de68,Museo de Sitio Huaca Pucllana,en,Very interesting! During covid you have to reserve a tour. Only 5$cdn. Very worthwhile and the tour guide was excellent.,,,,,,,,,,
gm_118896b5fa0ea54b,Santuario Histórico de Machu Picchu,en,"Ticket 152 soles : they have 2 round, morning from 6-12 and afternoon from maybe 1-5pm. If you would like to hike mountain such as Machu Picchu mountain, you should buy the ticket with ""+mountain"" type. From aguas calientes, there will be shuttle service $24 round trip. You will see where to buy ticket when you arrive here cos the town is very small and everyone is buying tickets every minutes. And shuttle could take around 30 mins to reach Machu Picchu entrance on the top of the mountain. It's recommended to hike to Sun Gate taking 3 hours to go there and back. There you will have another angle to see Machu Picchu. I went to Inka Bridge as well. It was just logs bridging pass the missing trail. Nothing much but the trail was just challenging. Actually it's quite scary cos the trail is narrow and slippery when rain. Enjoy!",,,,,,,,,,
gm_c2d7e003daf5dd61,Centro Histórico de Lima,es,"Plaza muy bonita y mantenida en su totalidad, buen lugar para turistear con la familia",,,,,,,,,,
gm_55a99cc6c7e39774,Santuario Histórico de Machu Picchu,es,"En tiempos de pandemia, el aforo está reducido a la mitad en la ciudadela, en el pueblo todo está más económico; puedes encontrar alojamiento desde S/. 40.00, platos de comida desde S/. 6.00; el pasaje en bus está S/. 35.00 ida y vuelta y el boleto o ticket de tren está S/. 12.00 por viaje, para peruanos el ingreso es gratuito todo el 2020, y los domingos hasta donde tengo entendido siempre ha sido gratuito. Un viaje para 2 personas puede oscilar entre los S/. 150.00 a S/. 200.00 dos días y una noche desde ollantaytambo. Lastimosamente las aguas termales están cerradas. Adicionalmente hay otro acceso que no es por tren, si no que es por Santa Teresa con cualquier vehículo móvil y de ahí caminar unas 3 horas.",,,,,,,,,,
gm_997c6d82f7ac90b9,Museo de Sitio Huaca Pucllana,es,"Hermoso! No se lo pierdan. El recorrido es guiado, está incluído en la entrada. Imperdible!!!!",,,,,,,,,,
gm_683dc3b727954e02,Museo de Sitio Huaca Pucllana,en,It was ok. The ancient pyramid (partially) made of Adobe and the way of living at that time is shown in the outdoor museum. You can go up on the pyramid and down around with the guide. About 45min. Be sure to bring good sun block and hats as there are no shadows. Scheduled guided tour is required. You can't go on your own. The timing is when there are good enough people. English or Spanish. Ticket: 15 soles at the door.,,,,,,,,,,
gm_08d32ef4335d8966,Ciudadela de Kuélap,es,"Excelente, bien conservado y su teleférico moderno junto con sus estaciones, todo muy bien conservado",,,,,,,,,,
gm_677e4001f5705a56,Santuario Histórico de Machu Picchu,en,"My friend and I visited Machu Picchu with a guided tour, and the experience was incredible. If you're planning to go, keep in mind that you’ll need to buy your tickets well in advance—especially since entry is limited and sells out quickly. We arrived in Cusco via Inca Rail, and our tour package included all transportation and tickets, so we didn’t have to worry about the logistics. Everything was taken care of, which made the trip stress-free. We chose Circuit 2, which I highly recommend. The route offered amazing panoramic views, and the energy of Machu Picchu is truly something you have to feel in person. The scenery is absolutely breathtaking—a place that leaves you speechless. They close at at 5, we chose the last tour which lets you in until 3:10 it might seem like it's not enough time but it is!",,,,,,,,,,
gm_541cfaad940b53f7,Centro Histórico de Lima,en,Changing of the guard at the presidential palace was really impressive. Each day at 12 noon. Gorgeous buildings. Walked around and never felt uncomfortable in the area close by. Would not wander out of the areas where the police are very visible. Visited the Merced Church some 4 blocks away and it is spectacular. Used Uber there and back.,,,,,,,,,,
gm_86af5635310a89ae,Santuario Histórico de Machu Picchu,es,"Desde el camino para llegar a Aguascalientes hasta el trekking de subida al santuario, hacen magnífica la visita de este lugar con tanta historia, con tanta cultura..",,,,,,,,,,
gm_d6da6bf78f30d1e6,Santuario Histórico de Machu Picchu,en,"Speak less great, still shocked after few days ! What nice place, should protect more.",,,,,,,,,,
gm_1f078ba605432f2a,Santuario Histórico de Machu Picchu,en,Where to start? Avoid the rain. Machu picchu at 6am. Waynapichhu at 10am. Is the perfect combination. Beat the crowd for breathtaking pics and views.,,,,,,,,,,
gm_af39b4ed2bfd4f50,Valle del Colca,es,"Si vas a Arequipa, separa el tour con una noche. Hay full day pero es muy cansado. Lleva cámara con zoom. Si lo que quieres son selfies basta con tu celular pero no se aprecia la dimensión del cañón. Una cámara con zoom da mejor profundidad y captura detalles. La parada en la Cruz del Cóndor es el mejor lugar para ver los cóndores muy cerca, volando sobre las cabezas. Recomendable.",,,,,,,,,,
gm_f4598cddc2f0fcd0,Reserva Nacional de Paracas,es,"MA RA VI LLO SO! La playa es espectacular, puedes tomar sol y nadar en el mar sin ningún problema. Ahora, recomiendo ir antes de las 11:00am ya que a partir de esa hora la gente empieza a bajar.",,,,,,,,,,
gm_e602920295a6ca2e,Museo Tumbas Reales del Señor de Sipán,es,"Permite conocer la historia, paso a paso, hay guardería para dejar las cosas, servicios, lugar de estacionamiento y venden artesanías muy cómodas y lindas!",,,,,,,,,,
gm_71a247119d24b11d,Museo de Sitio Huaca Pucllana,en,Nice place but the visiting hours are very short so we could watch only from outside,,,,,,,,,,
gm_9e5ac8d3bb05b6b2,Santuario Histórico de Machu Picchu,es,Lugar con mucha paz ! aparte de ser una de las 7 maravillas del mundo. Se recomienda comprar con anticipación las entradas.,,,,,,,,,,
gm_4438640752b932ee,Museo Tumbas Reales del Señor de Sipán,es,"Un lugar hermoso para conocer una de las culturas milenarias de nuestro Perú, está ubicado a unos 30 minutos de Chiclayo.",,,,,,,,,,
gm_bb7fbfed23c2370a,Santuario Histórico de Machu Picchu,en,"What a beautiful and magical place! It's really a shame they let in so many people at the same time, but I can imagine everyone wants to go there.. I still highly recommend it. It's now 2 shifts a day so you can either go between 6-12 or between 12-6. I've been told it rains more in the afternoon so we went in the morning. Woke up really early but everyone did so also at 6.30 it was overcrowded, and funny enough around 10AM there were much less people. So worth staying a bit longer!",,,,,,,,,,
gm_638af7f8efd2855a,Santuario Histórico de Machu Picchu,en,"It was way better than what I expected: the weather was perfect. We did it very classy. We stopped at the hotel at the entrance of MP and had an expensive buffet lunch and then entered, then afterwards we had tea at the same place because we had a probate bus ride back down because we also had the very high end train ride back to Cusco including gourmet dinner. FIRST CLASS ALL,THE WAY made the whole trip simply better...",,,,,,,,,,
gm_f09e36cb8ef84a4e,Santuario Histórico de Machu Picchu,en,"Amazing nature, mystical Inca history and well preserved ruins - definitely worth a visit for everybody. Even our 3.5 year old son had fun playing hide and seek in the ruins, we did thus the less ""risky"" tour on the site.",,,,,,,,,,
gm_765f9e972b722e93,Reserva Nacional de Paracas,es,"Para entrar a la reserva tiene un precio, sin embargo la carretera está en mal estado.",,,,,,,,,,
gm_56d62e3a783d97b5,Santuario Histórico de Machu Picchu,en,"Spiritual sanctuary, must see if you are connected to nature and appreciate all life.",,,,,,,,,,
gm_3bd648c146a8a18f,Centro Histórico de Lima,es,"Es un lugar bellísimo. Sumamente limpio, ordenado y seguro. A las 12.00 del medio día, hacen el cambio de guardia, lo cual es interesante de ver. Además, a los alrededores de la Plaza de Armas hay muchos sitios para visitar, iglesias, restaurantes, museos, tiendas de artesanías, etc. Por lo que perfectamente se puede pasar todo un día ahí, sin aburrirse. Yo tuve la oportunidad de estar ahí el último domingo de mes. Y todo el centro histórico de Lima se libera de vehículos para dar paso al tránsito sin mayor dificultad de peatones. Hay ventas de libros usados a muy buen precio, y con un gran variedad de títulos. Además cerca de la Plaza montan un escenario y durante todo el día estuvieron músicos tocando. Es un lugar que debe ser visitado.",,,,,,,,,,
gm_25e06ab12c7993b7,Circuito Mágico del Agua,es,"Hermoso parque con 12 fuentes de agua, de magníficas formas, colores y ritmos. El agua se transforma mágicamente en este parque. Tiene costo la entrada y sin duda se lo debe visitar en la noche para apreciar el espectáculo. Toma un par de horas visitar con detenimiento el parque. Vale la pena para entretenerse en una noche limeña. Lleva zapatos cómodos y una chaqueta que abrigue, y por supuesto una cámara para fotos coloridas. Es un espectáculo para toda la familia.",,,,,,,,,,
gm_12da8e033c0a01e9,Museo Tumbas Reales del Señor de Sipán,es,"Deberían poner afuera un toldo, hace demasiado sol! Gracias a Dios hay un poco de sombra x unos arbolitos... Pero adentro el museo es ALUCINANTE! Hermosa cultura la.nuestra!",,,,,,,,,,
gm_2e45562786059ff6,Líneas y Geoglifos de Nasca y Palpa,es,"A 8 horas de lima por vía terrestre, llegue a éste lugar maravilloso, después de apreciar por el camino deslumbradores e increibles paisajes. Una vez llegamos, tenemos la opción de contratar un vuelo en avioneta, dónde se pueden apreciar, en todo su expledor, los diferentes geoglifos tallados sobre el piso desértico. Otra opción es subir una torre, por un bajo costo y apreciar hasta donde se puede ver algunos de los mismos. No hay cobro de parqueadero. No se puede volar dron, pero te puedes tomar las fotos que quieras, llevando ese lindo recuerdo grabado en tu memoria y en el álbum de fotos. Me encantó Lo recomiendo",,,,,,,,,,
gm_fa8f0cafe18e583c,Monasterio de Santa Catalina,es,"Mucha historia y belleza, personalmente me encanta! Sus ambientes te pueden hacer vivir muchas emociones, quizás un poco tenebroso, pero muy mágico.",,,,,,,,,,
gm_0b53a486609d1db6,Santuario Histórico de Machu Picchu,es,"Definitivamente estando alla se entiende porqué es una de las nueve maravillas del mundo moderno. Es recomendable comprar con anticipación las boletas de ingreso en la página, especialmente en temporada alta y así garantizar el ingreso y no hacer filas. Desde Aguas Calientes salen buses que son los que se encargan de llevar a los turistas hasta Machu Picchu, los tiquetes deben ser comprados en lo posible el día anterior a la visita, o antes de la hora programada de la llegada del bus, porque no dejan subir sin el comprobante de pago (es más costoso el tiquede de ida y regreso, que el ingreso). En lo personal no recomiendo llevar tantas cosas, no se necesitan; tal vez agua y protector solar, depende la temporada. Lo bueno de ir en temporada baja es que hay más facilidad para tomar buenas fotos, las filas no son tan largas y el recorrido es más tranquilo. Pero lo malo es que están en época de lluvias y si está nublado no se ve casi nada, toca esperar a que se despeje, el clima es impredecible. Vale la pena ir y conocer este sitio tan hermoso y lleno de una energía increíble.",,,,,,,,,,
gm_1411b16acafdf04d,Líneas y Geoglifos de Nasca y Palpa,es,"Un lugar muy especial y con un aura muy especial, patrimonoo de la humnidad el cual devemos cuidar desde el mirador o desde avion se miran los geográficos los cuales son hermosos...",,,,,,,,,,
gm_2ae33568a2d0cf15,Museo de Sitio Huaca Pucllana,es,Una sorpresa muy linda es encontrarse con semejante construcción de ladrillos de adobe de una cultura Pre-Incaica. No sabíamos que existía.,,,,,,,,,,
gm_a237a3bf79c8c65a,Santuario Histórico de Machu Picchu,es,"Hermosa experiencia, muy buenas guías te cuentan todas las historias salientes de dichas ruinas maravilloso lugar que te ubica en el espacio y tiempo de lo que somos en la tierra",,,,,,,,,,
gm_d0a44097b252f9d6,Circuito Mágico del Agua,es,"Es un lugar amplio y muy bonito para caminar, hay un espectáculo a las 7.15,8.15 y 9.15 la entrada cuesta 4 soles",,,,,,,,,,
gm_b5e74d463d923604,Circuito Mágico del Agua,en,"Great for family's and couples. Best at night. Don't forget to watch one of the 3 shows they have, very entertaining.",,,,,,,,,,
gm_faa121e62ca3037a,Santuario Histórico de Machu Picchu,es,Un lugar mágico y cargado de energía. Pocos sitios me han transmitido tanto como Machu Picchu. Increíble lo que los incas construyeron. El paisaje es también de lo mejor que he visto. Recomendable 100% su visita si estás en Perú.,,,,,,,,,,
gm_4e5155aad5cfe0a6,Museo de Sitio Huaca Pucllana,en,"So we'll done, with QR codes everywhere with such impressive information! A quick stop with air conditioning and incredible history!",,,,,,,,,,
gm_07f5aeaeb1c74278,Santuario Histórico de Machu Picchu,en,Once in a lifetime experience 🥹. I truly recommend few things: 1. Buy in advance your entry tickets (2-3 months before the trip!) 2. Buy in advance at least 1 ore 2 days before the trip your bus tickets taking you up and down from Machu Picchu Citadel. 3. Be in line 1 hour and half before your entry on the ticket. 4. Book tour number ONE if you want that iconic photo (you won’t have access into the citadel) 5. If your lucky book tour number TWO for the full experience. 6. When you wait in line before boarding the bus few tour guides will approach to you… be kind to them because they are going to be your best photographer and the best guide inside your MP experience. Enjoy your journey ☀️,,,,,,,,,,
gm_e9982f4fd93002d2,Santuario Histórico de Machu Picchu,en,The most amazing place I've been in a while. The tour guide was amazing. I strongly recommend getting one.,,,,,,,,,,
gm_4d4a725c777b35c0,Ciudadela de Kuélap,es,"Toda la fortaleza, aunque le falta cuidado y mantenimiento es un belleza el lugar.",,,,,,,,,,
gm_8d9e60b3d65cdc3e,Santuario Histórico de Machu Picchu,en,I mean I can't even describe how incredibly breathtaking this place is. The pictures just don't do it justice and you'll have to see it for yourself.,,,,,,,,,,
gm_ef9f53038a1e5986,Monasterio de Santa Catalina,es,"Hermoso, limpio y bien preservado Le quito una estrella porque no es accesible con silla de ruedas",,,,,,,,,,
gm_ce3338275be8dae1,Ciudadela de Kuélap,es,Un lugar muy interesante para descubrir...Merece mucho la pena. Demasiado caro el teleférico. Mejor subir caminando disfrutando de bellas vistas y vida indígena. 4h.,,,,,,,,,,
gm_b19061d3e01e58f1,Museo Tumbas Reales del Señor de Sipán,es,"Muy bonito todo, pero el museo tiene tanto tiempo existiendo que resulta injustificable que la totalidad de infografías aún no sean bilingües… videos sin subtítulos y demás limitaciones para turistas extranjeros.",,,,,,,,,,
gm_d13c33a30fcac34e,Museo Tumbas Reales del Señor de Sipán,es,Es un lugar bonito para pir epn f amilia.hay un parqueo amplio .y tambien para silla de ruedas.es tranquilo y seguro.pero fue mucha descepcion cuando me entere que unas piezas muy significativas .estaban en otros paises para exposicion.y aki se quedaron las replicas...,,,,,,,,,,
gm_1a10c2af0a9db363,Líneas y Geoglifos de Nasca y Palpa,en,Very nice experience! Avoid eating a couple of hours in advance to limit risk of mooting sickness issues.,,,,,,,,,,
gm_7ca865f47ed31255,Valle del Colca,es,"Accidente geográfico espectacular con paisajes hermosos y con una rica historia preincas ,además se podrá apreciar el vuelo inolvidable de los cóndores de los andes y empaparse del conocimiento de la cultura peruana. Excelente comida",,,,,,,,,,
gm_22077358571a3aa7,Santuario Histórico de Machu Picchu,es,"Viajar a Machu Picchu es una experiencia que se debe hacer en la vida, pero la información es confusa a veces entonces voy a dejar los pasos más importantes los más sencillo posibles. 1. Para llegar a Aguas Calientes el pueblo como tal, existen varias formas, la más recomendable es el tren desde Cusco (nosotras decidimos ir en bus hasta Ollantaytambo, una cuidad a 2 horas de Cusco, donde queda una de las estaciones, para conocerlo un poco y tomar el tren ahí). Los tiquetes de tren los compramos en Internet con un poco menos de 1 mes de anticipación. PeruRail es el tren turístico y no es barato. 1.1 En el aeropuerto se puede reclamar el tiquete comprado, ojo, se necesita el documento de identidad y la tarjeta de crédito con la que se hizo la compra. 2. La entrada a Machu Picchu también se puede comprar por Internet, de hecho es lo más recomendable por los sobrecostos de las agencias de viajes. Comprar esa entrada es una pesadilla, no voy a decir menos, la información no está clara, no se puede pagar directamente con la tarjeta de crédito sino con PayPal (lo cual en Colombia no funciona tan bien) así que preparados para eso. Se debe tener a mano una foto del pasaporte porque lo exigen en la compra, también se debe contar con tiempo, porque una vez realizada la compra se debe esperar un correo electrónico de confirmación que toma una hora en llegar. 2.1 Los tipos de entrada son 3, como tal Machu Picchu, Machu Picchu + montaña, Machu Picchu + Huayna Picchu. Si tienen buen estado físico, compren Huayna Picchu, sino, sólo con Machu Picchu es suficiente o a lo sumo con montaña, porque la subida necesita un poco de esfuerzo, no es tanto, pero es bueno saberlo. 2.2 Si van a comprar Huayna Picchu que sea con al menos 4 o 3 meses de anticipación porque esas entradas son pocas. 3. Ya estando en Aguas Calientes es sencillo conseguir información, si van a subir en el bus, es recomendable saber que tampoco es barato. Es mejor comprar ida y vuelta de una vez. 4. Para apreciar mejor el recorrido es bueno tener un guía, se encuentran muchos en la entrada así que no es problema. De resto es cuestión de disfrutar el viaje, el encanto, el clima y la vista que es simplemente espectacular.",,,,,,,,,,
gm_95e2b0042f5f8aea,Museo de Sitio Huaca Pucllana,es,"Increíble la experiencia de la historia y el recorrido, a un precio accesible. Es una maravilla conservada en medio de la ciudad",,,,,,,,,,
gm_506d76766f46e42d,Monasterio de Santa Catalina,en,Really interesting to see and explore as it was founded 10 years after the Spanish invaded Peru. Gives a great sense of life and artistry at the time,,,,,,,,,,
gm_036b075db54c7227,Centro Histórico de Lima,es,Es bonito para ir a conocer la zona histórica de Lima. Está la catedral,,,,,,,,,,
gm_6cb9df8bc30da4bc,Valle del Colca,es,Es muy bonito se los recomiendo para ir en familia lleven ropa de baño para los baños termales y una buena camara,,,,,,,,,,
gm_7b406453658f9175,Ciudadela de Kuélap,es,"El lugar es muy bonito con vistas preciosas. Las construcciones de los Chachapoyas muy interesantes. El acceso con el telefèrico de 4,5 km es impresionante. Para llegar a la fortaleza hay que caminar unos 20 mn. A la salida puedes visitar una casa reconstruida para hacerte una idea de como eran. Ojo que entonces hay que caminar 1,3 km adicionales con nulo interés. El acceso desde Chachapoyas tiene un tramo de carretera de unos 10 km en bastante mal estado. Se tarda cerca de una hora en recorrer los 38 km que hay hasta el complejo turístico. El transporte en autobús desde el telefèrico es muy bueno. Son entre 5 y 10 mn adicionales a los 20 mn de la cabina. Hemos estado a finales de Setiembre y hemos coincidido con solo una docena de turistas. Ningún problema por no reservar. El telefèrico no hace ningún descuento. Son 26 soles y 30 más de la entrada.",,,,,,,,,,
gm_822f5bc5cd5caa4d,Santuario Histórico de Machu Picchu,en,mesmerising Machupicchu and astonished with Inca history.. a beautiful world gem that needs to be fully cared for generations to come. An instagramable place with magical view every angle.,,,,,,,,,,
gm_bcfd9cea9eee3958,Santuario Histórico de Machu Picchu,es,"Simplemente Hermoso, gran arquitectura, en un paisaje maravilloso, rodeado de montañas a tan solo de 25 a 30 minutos de aguas calientes en bus valor extranjero ida y vuelta 24 dolares",,,,,,,,,,
gm_d808afd17ad23444,Centro Histórico de Lima,es,"Regresé al centro de lima después de mucho tiempo, se ve muy limpio ordenado recuerden que no ingresan autos así que sii vas con movilidad por jr junin desde la cuadra 1 en adelante hay muchas playas de estacionamiento, y desde allí puedes ir a pie y recorrer el centro histórico, y sobre todo disfruten su caminata y miren con amor todo.",,,,,,,,,,
gm_7a7059f839939a7e,Valle del Colca,en,"Loving the sights and calmness. I find it a bit expensive for international tourist, though: 40 soles for Latin American countries and 70 for the rest of the world. If you got a student ID, better take it. If you're lucky enough, you'll get to see the condors. Taker extra clothes as it's cold there. And pills in case if sickness, lemon candies and medicinal alcohol also work.",,,,,,,,,,
gm_80653ac0cadef0b2,Santuario Histórico de Machu Picchu,es,"Buen lugar para visitar en septiembre, no hace mucha calor , ni hace frío, yo ingresé a las 10 am . Para terminar el recorrido a la 1 pm , ya que el guía va muy apresurado , pero si es necesario un guía hay lugares donde no se puede entrar , las entradas por adelantado recomendado .",,,,,,,,,,
